0  0 53 85
1  35 40 46 73 88 94 96
2  6 8 22 26 29 42 48 53 71 79 81 86 94 95
3  3 24 31 41 45 69 75 78
4  18 27 32 35 40 41 45 47 61 82 85 90 95 98
5  16 27 33 35 42 47 61 70 71 73 95 98
6  28 41 78 85 91 93 97 98
7  3 24 29 31 33 35 50 69 76
8  9 13 27 40 46 55 59 70 73
9  21 27 30 40 45 53 61 70 75 76 85 87 91 93 95 96
10  0 5 28 31 34 40 71 78 91
11  1 7 19 21 35 39 72 85 87 95
12  1 3 8 24 31 50 53 61 69 72 98
13  21 22 31 41 52 55 97
14  3 5 27 28 42 45 70 75 78 81 84 91 97
15  17 35 40 46 61 86 94
16  1 3 11 24 31 50 52 61 69 76 85
17  10 22 30 47 48 52 70 76 78 85 98
18  2 24 30 40 78
19  31 48 51 52 64 76 83 91 98
20  7 16 62 71 85 87 95
21  8 14 28 41 50 61 77 78 98
22  1 16 53 71 76 84 85 87 95
23  8 27 30 40 42 45 53 54 61
24  8 48 50 54 61 85 95 98
25  1 11 22 31 34 40 64 71 74 77 85 87 93 95
26  8 21 27 28 29 30 37 48 56 62 74 78 85 87 95
27  11 19 26 29 31 36 39 40 42 51 52
28  0 1 32 41 78 88
29  1 8 11 28 32 41 50 53 56 61 62 78 85 98
30  17 48 83 86 88
31  0 9 21 62 71 74 75 87 95 97
32  5 27 31 40 45 53 91 93
33  10 17 22 29 50 52 53 74 80 94
34  6 27 42 53 54 70 95
35  0 29 33 35 41 47 53 56 61 82 97 98
36  10 17 27 40 62 83 85 87 91 95
37  35 51 56 60 61 83 90 91 95 98
38  0 10 17 50 52 63 69 74 93
39  0 6 19 25 27 31 39 45 51 52 53 64 73 75 85 91 95 96
40  3 17 21 24 31 48 83 86
41  0 6 25 27 41 45 64 86 94 96
42  10 17 27 29 41 50 52 56 61 63
43  29 60 61 69 80 94
44  16 17 21 27 31 41 52 53 71 73 74
45  1 38 50 53 74 81 85 91 92 95 97
46  5 16 23 48 98
47  10 16 17 28 41 50 52 53 63 78 91 93 97 98
48  15 27 73 85 91 97
49  10 17 18 21 49 50 52 63 71 74 75 81
50  3 24 31 35 50 54 69 76
51  5 21 52 85 87 93 95
52  17 21 28 35 38 45 71 74 75 76 82 87 90 93 98
53  30 40 45 52 54 57 62 70 73 77 95
54  0 41 74 85 92
55  35 41 77 78 90 98
56  24 27 31 40 45 52 74 81 92
57  5 37 41 61 63 64 78 88
58  27 28 31 41 52 56 62 78 85 95
59  5 8 21 27 28 41 70 71 74 77 78 95 96
60  1 2 11 30 40 54 70 72 73 74
61  15 29 41 56 61 75 98
62  5 18 27 29 41 49 52 56 93
63  0 56 62 77 87
64  1 10 16 21 41 48 71 74 85 94 96
65  35 41 45 91
66  22 24 26 29 33 34 41 45 53 80 84 88 91 94 97
67  53 55 61 75 78 83 91 98
68  0 5 21 41 42 71 74 78 85 95
69  8 24 27 31 41 50 61 78 98
70  41 48 50 61 71 78 86 94 98
71  21 41 55 56 70 71 73 74 85
72  8 9 17 18 27 40 50 53 55 59 62 76 85 91 98
73  1 19 29 30 31 35 39 40 46 61 70
74  3 5 7 24 31 50 53 64 69 76 93
75  1 21 27 35 70
76  56 62 85 87 95
77  2 5 10 17 30 40 50 52 56 61 62 87 93 95 98
78  15 23 27 48 53 65 75 76 90 95 96 98
79  15 21 23 48 65 70 73 74 75 76 98
80  33 35 36 41 46 58 76 90 92 97 98
81  0 6 25 27 45 53 64 78 85
82  15 22 35 53 62 68 75 78 95 96 98 99
83  27 46 69 70 73
84  5 11 28 30 41 91
85  0 29 40 41 48 80 85 94 95
86  15 27 53 73 75 95 98
87  1 10 17 41 50 52 63 72 78
88  5 17 21 48 52 53 71 74 86 95
89  17 27 28 40 41 78 82 85
90  5 34 52 55 61 76 84 99
91  9 55 70 74 85 91 95
92  0 10 11 15 21 34 36 50 52 53 54 63 70 71 74 75 95 96 97 98
93  21 22 29 55 75 87 93 98
94  50 73 75 91
95  21 75 76 87 93
