0  3 4 5 13 15 17 22 26
1  37
2  5 8 25 26 31 44
3  10 20 21 34 37
4  15 17 26
5  8 10 14 26 35 37 39
6  4 11 19 37 42 46
7  1 11 12 15 17 33 45 49
8  22
9  13 14 15 20 22 26 39
10  0 3 12 13 22 32
11  22
12  20 22 45
13  2 4 10 26 38
14  4 13 20 27 29
15  1 2 13 20 46
16  15 24
17  0 3 12 13 14 20 22 32 45
18  16 49
19  5 8 25 26 31
20  0 15 26 35
21  10 21 27 35 37 42
22  10 25 26 31 35 37
23  17 45 49
24  25 31
25  11 17
26  2 11 26
27  2 7 12 15 25 26 34 38 39 42
28  16 17 49
29  17 22 26 45 49
30  2 30 31 38
31  13 20 22 26
32  10 17 20 45 49
33  13 15 20 22
34  15 16 17 20
35  14 26 30 31 39 42
36  13 15 22
37  10 14 20 26 42 45
38  0 4 17 36 45 49
39  0 3 12 13 22 26 29 32
40  10 12 13 15 20 25 34 38
41  13 20 22 26 39
42  14 20 39
43  5 8 13 15 17 20 22 25 26 31 38 42 45
44  19
45  14 15 35 39 44 47
46  1 15 34 38
47  3 15 16 20 35 45
48  0 3 12 13 18 22 26 32
49  0 1 15 18 34 36
50  8 26
51  10 14 20 35 37 39 42 46 47
52  8 10 26 49
53  4 6 10 22 35 37
54  10 14 20 31 39
55  0 1 15 20 36 39 47
56  8 14 15 18 26 35 42
57  13 14 15 20 27 39
58  10 15 20 22 47
59  0 3 12 13 22 24 32
60  26 42 46
61  8 17 45
62  0 3 12 13 20 22 24 32
63  2 26 30 42 46
64  10 35 37
65  5 8 25 26 31
66  10 13 25 31 47
67  0 3 12 13 22 32
68  4 5 13 16 25 26 42 46 49
69  14 21 27 29 38 42
70  1 15 20 21 39 47
71  1 12 15 34 38
72  14 19 26 42 47
73  20 22 42
74  8 18 26 33 40
75  1 12 15 25 34 38
76  1 12 15 26
77  19 20
78  8 25 26 31
79  1 12 15 34
80  14 42
81  14 27 42
82  0 3 12 13 17 22 27 32 45 47 49
83  0 3 12 13 22 32
84  1 12 34
85  1 21 30 43 47
86  5 8 25 26 31
87  34 47
88  10 44
